cdf,prefill_time_execution_plus_preemption_normalized,replica
0.0,2.8612725470701304e-05,0
0.01,3.0168334535699425e-05,0
0.02,3.1723943600697545e-05,0
0.03,3.327955266569566e-05,0
0.04,3.4835161730693787e-05,0
0.05,3.6390770795691904e-05,0
0.06,3.794637986069003e-05,0
0.07,3.922222430582904e-05,0
0.08,3.993853951124986e-05,0
0.09,4.065485471667067e-05,0
0.1,4.137116992209149e-05,0
0.11,4.2087485127512305e-05,0
0.12,4.2803800332933115e-05,0
0.13,4.352011553835393e-05,0
0.14,4.385517813718512e-05,0
0.15,4.399961443272148e-05,0
0.16,4.4144050728257853e-05,0
0.17,4.4288487023794225e-05,0
0.18,4.44329233193306e-05,0
0.19,4.457735961486696e-05,0
0.2,4.472179591040333e-05,0
0.21,4.516870585971768e-05,0
0.22,4.5615615809032025e-05,0
0.23,4.606252575834637e-05,0
0.24,4.650943570766072e-05,0
0.25,4.6956345656975064e-05,0
0.26,4.740325560628941e-05,0
0.27,4.779940788226879e-05,0
0.28,4.809404481157822e-05,0
0.29,4.838868174088765e-05,0
0.3,4.8683318670197084e-05,0
0.31,4.8977955599506516e-05,0
0.32,4.927259252881595e-05,0
0.33,4.956722945812538e-05,0
0.34,4.981340307185531e-05,0
0.35000000000000003,5.003534502779548e-05,0
0.36,5.0257286983735655e-05,0
0.37,5.0479228939675834e-05,0
0.38,5.0701170895616006e-05,0
0.39,5.0923112851556184e-05,0
0.4,5.1145054807496356e-05,0
0.41000000000000003,5.1198456343305436e-05,0
0.42,5.125185787911451e-05,0
0.43,5.130525941492359e-05,0
0.44,5.135866095073267e-05,0
0.45,5.141206248654175e-05,0
0.46,5.1465464022350826e-05,0
0.47000000000000003,5.170139511023264e-05,0
0.48,5.230238530225994e-05,0
0.49,5.2903375494287246e-05,0
0.5,5.350436568631455e-05,0
0.51,5.4105355878341856e-05,0
0.52,5.470634607036916e-05,0
0.53,5.530733626239646e-05,0
0.54,5.557734598456416e-05,0
0.55,5.568186547180205e-05,0
0.56,5.5786384959039944e-05,0
0.5700000000000001,5.5890904446277836e-05,0
0.58,5.599542393351573e-05,0
0.59,5.609994342075362e-05,0
0.6,5.620446290799151e-05,0
0.61,5.6384982221882334e-05,0
0.62,5.656550153577316e-05,0
0.63,5.6746020849663984e-05,0
0.64,5.6926540163554805e-05,0
0.65,5.710705947744563e-05,0
0.66,5.7287578791336455e-05,0
0.67,5.74961692888899e-05,0
0.68,5.77609021537686e-05,0
0.6900000000000001,5.80256350186473e-05,0
0.7000000000000001,5.8290367883525996e-05,0
0.71,5.85551007484047e-05,0
0.72,5.8819833613283396e-05,0
0.73,5.90845664781621e-05,0
0.74,5.922517822839168e-05,0
0.75,5.9303729421296704e-05,0
0.76,5.9382280614201724e-05,0
0.77,5.9460831807106745e-05,0
0.78,5.953938300001177e-05,0
0.79,5.961793419291679e-05,0
0.8,5.969648538582181e-05,0
0.81,5.9718365272758505e-05,0
0.8200000000000001,5.97402451596952e-05,0
0.8300000000000001,5.976212504663189e-05,0
0.84,5.978400493356858e-05,0
0.85,5.980588482050527e-05,0
0.86,5.982776470744196e-05,0
0.87,6.0215349827671577e-05,0
0.88,6.133434541448702e-05,0
0.89,6.245334100130246e-05,0
0.9,6.357233658811791e-05,0
0.91,6.469133217493335e-05,0
0.92,6.58103277617488e-05,0
0.93,6.692932334856424e-05,0
0.9400000000000001,6.743359681580872e-05,0
0.9500000000000001,6.763050922326772e-05,0
0.96,6.782742163072671e-05,0
0.97,6.802433403818571e-05,0
0.98,6.822124644564472e-05,0
0.99,6.841815885310371e-05,0
1.0,6.861507126056271e-05,0
0.0,4.791106587723708e-05,1
0.01,4.826878169953664e-05,1
0.02,4.86264975218362e-05,1
0.03,4.8984213344135764e-05,1
0.04,4.934192916643532e-05,1
0.05,4.9699644988734886e-05,1
0.06,5.005736081103445e-05,1
0.07,5.0436009918509186e-05,1
0.08,5.085652559633427e-05,1
0.09,5.127704127415937e-05,1
0.1,5.1697556951984454e-05,1
0.11,5.211807262980954e-05,1
0.12,5.2538588307634634e-05,1
0.13,5.295910398545972e-05,1
0.14,5.3319817737217366e-05,1
0.15,5.3650630525941276e-05,1
0.16,5.398144331466519e-05,1
0.17,5.431225610338911e-05,1
0.18,5.464306889211303e-05,1
0.19,5.4973881680836945e-05,1
0.2,5.530469446956086e-05,1
0.21,5.5513868706320496e-05,1
0.22,5.572304294308014e-05,1
0.23,5.593221717983977e-05,1
0.24,5.614139141659941e-05,1
0.25,5.6350565653359047e-05,1
0.26,5.655973989011869e-05,1
0.27,5.673764321259887e-05,1
0.28,5.6853004706520146e-05,1
0.29,5.6968366200441425e-05,1
0.3,5.70837276943627e-05,1
0.31,5.7199089188283975e-05,1
0.32,5.731445068220525e-05,1
0.33,5.742981217612653e-05,1
0.34,5.7512495667222884e-05,1
0.35000000000000003,5.7578840156906776e-05,1
0.36,5.764518464659067e-05,1
0.37,5.771152913627457e-05,1
0.38,5.777787362595846e-05,1
0.39,5.784421811564235e-05,1
0.4,5.7910562605326245e-05,1
0.41000000000000003,5.8052883149136645e-05,1
0.42,5.819520369294704e-05,1
0.43,5.833752423675744e-05,1
0.44,5.847984478056783e-05,1
0.45,5.862216532437823e-05,1
0.46,5.8764485868188634e-05,1
0.47000000000000003,5.890719429644216e-05,1
0.48,5.905067849358194e-05,1
0.49,5.9194162690721724e-05,1
0.5,5.9337646887861506e-05,1
0.51,5.9481131085001295e-05,1
0.52,5.962461528214108e-05,1
0.53,5.976809947928086e-05,1
0.54,5.986024586734315e-05,1
0.55,5.992672335086669e-05,1
0.56,5.999320083439023e-05,1
0.5700000000000001,6.005967831791377e-05,1
0.58,6.012615580143731e-05,1
0.59,6.019263328496085e-05,1
0.6,6.025911076848439e-05,1
