Time (sec),request_completion,replica
5.560282622961108,1,0
5.683676125706623,2,0
5.973297338529904,3,0
6.055784556535161,4,0
8.102060124239292,5,0
10.218055371285834,6,0
13.598861321654326,7,0
14.836284231312353,8,0
15.653031955946656,9,0
16.443286962286006,10,0
18.354813363679195,11,0
18.79794207895898,12,0
19.697959592790987,13,0
20.06243415671593,14,0
20.170784336981416,15,0
20.351066315018684,16,0
8.134068956998227,1,1
11.431508061158642,2,1
12.30717121328571,3,1
12.873243964133165,4,1
16.306950680764626,5,1
16.64527606636435,6,1
17.9950520228251,7,1
18.292343804658046,8,1
27.61484232691434,9,1
30.97745421088273,10,1
32.527417265763155,11,1
33.102278026337366,12,1
33.83282356395244,13,1
34.93666278191028,14,1
36.34367294350907,15,1
37.08376951167908,16,1
3.4111429154132735,1,2
4.239238369973208,2,2
15.681514663077966,3,2
16.379016375954713,4,2
18.548960732277855,5,2
18.842757154829975,6,2
18.85242808392931,7,2
19.00071099240794,8,2
19.04820342525701,9,2
20.193064164391856,10,2
20.40128446471776,11,2
21.022837992792493,12,2
21.60063394242519,13,2
21.679159460109503,14,2
21.88236899835886,15,2
22.478275990534925,16,2
11.089049151832034,1,3
16.655968546941306,2,3
24.630157722100943,3,3
25.76309539765674,4,3
25.821900969588132,5,3
29.229679579721342,6,3
29.61661637479878,7,3
29.694964590606048,8,3
29.78030524634237,9,3
29.86502619782815,10,3
30.005273650013997,11,3
30.423478483205706,12,3
31.612072226391923,13,3
32.201748843095494,14,3
32.64438041470451,15,3
32.77617843369369,16,3
1.0265938020201502,1,4
5.221746923179267,2,4
5.422205162791212,3,4
9.26099718633699,4,4
9.730234799837092,5,4
9.977591457608844,6,4
10.017408190896811,7,4
10.355888227943792,8,4
13.048472770438083,9,4
13.089859295726058,10,4
15.561815067434173,11,4
15.824320022365201,12,4
16.0960274152376,13,4
17.60731424553346,14,4
18.044204096592168,15,4
19.236181219174114,16,4
2.6416295375730905,1,5
5.636790544741481,2,5
9.34155215040447,3,5
10.482500164044056,4,5
11.190948490351735,5,5
16.125369683408177,6,5
16.793220680757177,7,5
17.395921669167357,8,5
17.544392234486192,9,5
18.23297765829628,10,5
18.552542175224083,11,5
18.626366295526434,12,5
19.06882972359338,13,5
19.323855649225116,14,5
19.868659443374803,15,5
19.943902149624925,16,5
3.134277357700953,1,6
7.956023915151768,2,6
9.051089550880572,3,6
13.976114332790287,4,6
14.012908821969676,5,6
16.37326534025638,6,6
16.637512533405854,7,6
16.924078621723204,8,6
17.1565398421384,9,6
17.300328309561976,10,6
17.413083738448385,11,6
17.880502371558435,12,6
18.546198118276767,13,6
19.20118068708111,14,6
19.322870882325756,15,6
21.05503418429259,16,6
5.994267361689695,1,7
10.476070216607695,2,7
11.096813870623032,3,7
12.938369413899224,4,7
13.36961437302112,5,7
14.945124561179375,6,7
20.60574609581408,7,7
23.057535079593475,8,7
30.241110748945324,9,7
34.16644086480967,10,7
34.56438826916661,11,7
34.87626300841753,12,7
36.83566680774507,13,7
36.83566680774507,14,7
38.23821990262375,15,7
38.45112439483704,16,7
