Time (sec),request_arrival
0.18587822790020653,1
0.2581054418999912,2
0.5026239187698309,3
0.6520286474043208,4
0.6643926149444088,5
1.0393926149444088,6
1.2183771680830981,7
1.4111371432162756,8
1.4282741652495143,9
1.5030915342908466,10
1.561004405250437,11
1.8877646149933345,12
2.016820332956791,13
2.2331027873161404,14
2.3063445298344227,15
2.338567667730464,16
2.439661213850804,17
2.447904286645341,18
2.6676691302857094,19
2.7925142299716663,20
2.9699117525845815,21
3.024633039957767,22
3.399633039957767,23
3.6791404225404687,24
3.8674912794396046,25
3.894549315955471,26
3.973138134280582,27
3.978737149415827,28
3.999684420308469,29
4.1433104132662475,30
4.314005344092296,31
4.689005344092296,32
4.738288605227173,33
4.796134282485957,34
4.875389348924266,35
4.901647924060357,36
4.919044405016743,37
4.999756984424623,38
5.03192685513306,39
5.170439246487655,40
5.24228243716196,41
5.4657619810465015,42
5.616369089588529,43
5.663181526098627,44
5.886348892776472,45
6.090542396136543,46
6.1518137758420055,47
6.194331062580397,48
6.337738975085511,49
6.356555865258917,50
6.384434466632794,51
6.385358154759903,52
