Request Id,prefill_time_execution_plus_preemption_normalized
4,5.0071243441069246e-05
5,5.254551143084294e-05
14,5.602931486552241e-05
10,6.0464433065375094e-05
3,5.306158742767243e-05
26,5.61897426314172e-05
28,6.124124139228826e-05
15,5.84718858606038e-05
33,5.9334044192698835e-05
24,6.218999515742661e-05
0,5.0135331436980095e-05
1,5.030163921711069e-05
36,6.133239896910352e-05
6,6.297895751108269e-05
8,5.816179034573762e-05
13,5.1746182327475345e-05
7,6.75001327995897e-05
16,4.0607477543643754e-05
19,6.311708304667385e-05
45,6.941706251523294e-05
37,5.089758351798309e-05
41,6.341528958553548e-05
57,5.877265495536232e-05
32,6.189269694268342e-05
44,5.8849183412639316e-05
17,6.072120130345258e-05
22,5.67373797410555e-05
42,6.504904294631078e-05
12,5.325314768368428e-05
31,6.416299211767675e-05
9,6.256592312168719e-05
2,5.0623582508369305e-05
63,5.982255787955083e-05
56,6.381315196549454e-05
21,6.084252904944606e-05
43,5.637849455143818e-05
67,6.788788704515023e-05
52,5.986464977697701e-05
47,5.926858215870228e-05
64,6.766983572645217e-05
73,7.205904597132247e-05
48,5.6513880352477914e-05
65,5.428924353239368e-05
39,5.453987185292043e-05
30,5.771787962471501e-05
79,5.292937885004603e-05
38,6.057168041509789e-05
51,6.161483509889848e-05
84,5.6688376531152506e-05
40,5.6687759248114474e-05
58,4.812576011493605e-05
46,5.865585112193517e-05
54,6.544185273618054e-05
61,6.124712275754895e-05
88,5.755652049351264e-05
59,5.514745981892818e-05
71,6.225371341110592e-05
66,5.926766003911688e-05
94,6.308985461106283e-05
102,4.7687504241660856e-05
76,5.3760539164028426e-05
70,5.5651177561554835e-05
108,6.187422622385184e-05
69,6.159889722675431e-05
74,6.679275656874756e-05
83,6.51322151640383e-05
68,5.829591199317166e-05
99,5.246161605754196e-05
86,5.292442499621794e-05
82,6.0832830950184125e-05
121,5.541998975867079e-05
110,6.386581606562585e-05
113,6.136704857293133e-05
104,5.73131779437946e-05
115,4.728082835982125e-05
114,5.560231003190577e-05
89,5.972919429210864e-05
116,6.109314000447102e-05
112,5.73123495478412e-05
109,6.305057813691435e-05
98,6.146559852429316e-05
103,5.164373822188076e-05
105,6.732675721173237e-05
107,6.280944915154587e-05
101,5.545475735637054e-05
100,5.28588547917972e-05
122,6.548247131363342e-05
106,4.361730246038189e-05
126,3.7825102787016215e-05
127,5.086524820725872e-05
120,5.782136081336731e-05
125,5.9750445816765505e-05
117,4.154506569111092e-05
