Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
0,15.368414,0.030737,15.368414,0.030737,15.368414,0.030737,0.000000,0.000000,15.368414,0.030737,0.364484,0.000050,0.364484,0.000050,0.030008,0.185878,7770,7270,0,500,14.540000,0,0.185878,0
1,15.404697,0.031438,15.139707,0.030897,15.139707,0.030897,0.000000,0.264990,15.139707,0.030897,0.659053,0.000084,0.394063,0.000050,0.030093,0.072227,8324,7834,512,490,15.987755,0,0.258105,0
2,24.979312,0.031460,24.593784,0.030975,24.593784,0.030975,0.000000,0.385528,24.593784,0.030975,0.777760,0.000100,0.392232,0.000051,0.030481,0.244518,8542,7748,512,794,9.758186,0,0.502624,0
3,10.384211,0.032861,9.784708,0.030964,9.784708,0.030964,0.000000,0.599504,9.784708,0.030964,0.748182,0.000267,0.148679,0.000053,0.030494,0.149405,3118,2802,512,316,8.867089,0,0.652029,0
4,1.121459,0.373820,0.410744,0.136915,0.410744,0.136915,0.000000,0.710715,0.410744,0.136915,1.074833,0.000148,0.364118,0.000050,0.015542,0.012364,7275,7272,512,3,2424.000000,0,0.664393,0
5,6.421432,0.037118,5.750299,0.033239,5.750299,0.033239,0.000000,0.671133,5.750299,0.033239,0.952041,0.000178,0.280908,0.000053,0.031615,0.375000,5519,5346,512,173,30.901734,0,1.039393,0
6,16.033112,0.035393,15.287742,0.033748,15.287742,0.033748,0.000000,0.745370,15.287742,0.033748,2.235012,0.000094,1.489641,0.000063,0.030459,0.178985,24106,23653,512,453,52.214128,0,1.218377,0
7,17.685410,0.038614,15.684106,0.034245,15.684106,0.034245,0.000000,2.001303,15.684106,0.034245,3.850807,0.000141,1.849504,0.000068,0.030207,0.192760,27858,27400,512,458,59.825328,0,1.411137,0
8,16.506979,0.041062,12.717486,0.031636,12.717486,0.031636,0.000000,3.789493,12.717486,0.031636,4.429854,0.000402,0.640361,0.000058,0.030043,0.017137,11412,11010,512,402,27.388060,0,1.428274,0
9,23.926640,0.039224,19.604097,0.032138,19.604097,0.032138,0.000000,4.322544,19.604097,0.032138,5.446353,0.000303,1.123809,0.000063,0.030296,0.074817,18572,17962,512,610,29.445902,0,1.503092,0
10,8.167510,0.115035,2.816738,0.039672,2.816738,0.039672,0.000000,5.350772,2.816738,0.039672,6.200660,0.000441,0.849888,0.000060,0.027702,0.057913,14127,14056,512,71,197.971831,0,1.561004,0
12,22.678889,0.041385,16.969034,0.030965,16.969034,0.030965,0.000000,5.709855,16.969034,0.030965,6.073894,0.000889,0.364039,0.000053,0.030301,0.455816,7384,6836,512,548,12.474453,0,2.016820,0
13,16.669063,0.047088,10.841288,0.030625,10.841288,0.030625,0.000000,5.827775,10.841288,0.030625,5.958382,0.002361,0.130607,0.000052,0.030256,0.216282,2878,2524,512,354,7.129944,0,2.233103,0
14,6.661343,0.475810,0.802303,0.057307,0.802303,0.057307,0.000000,5.859040,0.802303,0.057307,6.298086,0.000804,0.439046,0.000056,0.025947,0.073242,7850,7836,512,14,559.714286,0,2.306345,0
15,11.153315,0.076919,4.918102,0.033918,4.918102,0.033918,0.000000,6.235214,4.918102,0.033918,6.815840,0.000686,0.580626,0.000058,0.029914,0.032223,10075,9930,512,145,68.482759,0,2.338568,0
16,17.589216,0.049547,10.906492,0.030723,10.906492,0.030723,0.000000,6.682724,10.906492,0.030723,6.740670,0.004724,0.057947,0.000041,0.030559,0.101094,1782,1427,512,355,4.019718,0,2.439661,0
17,21.664544,0.046490,14.958041,0.032099,14.958041,0.032099,0.000000,6.706503,14.958041,0.032099,7.517617,0.000563,0.811114,0.000061,0.030358,0.008243,13824,13358,512,466,28.665236,0,2.447904,0
19,18.804466,0.053881,11.666459,0.033428,11.666459,0.033428,0.000000,7.138006,11.666459,0.033428,8.218634,0.000480,1.080628,0.000063,0.030332,0.344610,17470,17121,512,349,49.057307,0,2.792514,0
21,22.837100,0.048078,14.888662,0.031345,14.888662,0.031345,0.000000,7.948438,14.888662,0.031345,8.348234,0.001270,0.399796,0.000061,0.030503,0.232119,7046,6571,512,475,13.833684,0,3.024633,0
22,21.114227,0.050272,13.171375,0.031360,13.171375,0.031360,0.000000,7.942852,13.171375,0.031360,8.309716,0.001285,0.366864,0.000057,0.030487,0.375000,6886,6466,512,420,15.395238,0,3.399633,0
24,11.190437,0.139880,3.379417,0.042243,3.379417,0.042243,0.000000,7.811020,3.379417,0.042243,8.786407,0.000560,0.975388,0.000062,0.030050,0.467858,15764,15684,512,80,196.050000,0,3.867491,0
26,9.458178,0.363776,0.814580,0.031330,0.814580,0.031330,0.000000,8.643598,0.814580,0.031330,8.731535,0.005579,0.087937,0.000056,0.027948,0.105647,1591,1565,512,26,60.192308,0,3.973138,0
28,9.431632,0.857421,0.752361,0.068396,0.752361,0.068396,0.000000,8.679271,0.752361,0.068396,9.153890,0.001181,0.474620,0.000061,0.025249,0.026546,7761,7750,512,11,704.545455,0,3.999684,0
30,28.030741,0.045578,19.224061,0.031259,19.224061,0.031259,0.000000,8.806680,19.224061,0.031259,8.921481,0.004485,0.114801,0.000058,0.031072,0.314321,2604,1989,512,615,3.234146,0,4.314005,0
31,20.006704,0.058159,11.488217,0.033396,11.488217,0.033396,0.000000,8.518487,11.488217,0.033396,9.537267,0.000601,1.018780,0.000064,0.030434,0.375000,16222,15878,512,344,46.156977,0,4.689005,0
32,19.083916,0.061760,9.633211,0.031175,9.633211,0.031175,0.000000,9.450705,9.633211,0.031175,9.717958,0.002251,0.267253,0.000062,0.030311,0.049283,4627,4318,512,309,13.974110,0,4.738289,0
33,10.180244,10.180244,0.550857,0.550857,0.550857,0.550857,0.000000,9.629386,0.550857,0.550857,10.180244,0.001097,0.550857,0.000059,0.000000,0.057846,9285,9284,512,1,9284.000000,0,4.796134,0
36,11.034569,0.355954,1.010979,0.032612,1.010979,0.032612,0.000000,10.023589,1.010979,0.032612,10.195627,0.003635,0.172037,0.000061,0.027063,0.122910,2836,2805,512,31,90.483871,0,4.919044,0
37,17.527559,0.073031,7.441376,0.031006,7.441376,0.031006,0.000000,10.086183,7.441376,0.031006,10.168738,0.006269,0.082556,0.000051,0.030662,0.080713,1862,1622,512,240,6.758333,0,4.999757,0
38,27.665431,0.049848,17.556093,0.031633,17.556093,0.031633,0.000000,10.109338,17.556093,0.031633,10.360105,0.002502,0.250767,0.000061,0.031181,0.032170,4695,4140,512,555,7.459459,0,5.031927,0
39,26.698095,0.050951,16.506499,0.031501,16.506499,0.031501,0.000000,10.191596,16.506499,0.031501,10.330673,0.004051,0.139077,0.000055,0.031236,0.138512,3074,2550,512,524,4.866412,0,5.170439,0
40,28.663737,0.048831,18.433100,0.031402,18.433100,0.031402,0.000000,10.230637,18.433100,0.031402,10.367481,0.004295,0.136844,0.000057,0.031169,0.071843,3001,2414,512,587,4.112436,0,5.242282,0
41,17.951063,0.079080,7.835337,0.034517,7.835337,0.034517,0.000000,10.115726,7.835337,0.034517,11.038609,0.000759,0.922883,0.000063,0.030451,0.223480,14780,14553,512,227,64.110132,0,5.465762,0
42,18.933001,0.079218,8.082275,0.033817,8.082275,0.033817,0.000000,10.850725,8.082275,0.033817,11.670799,0.000926,0.820073,0.000065,0.030386,0.150607,12846,12607,512,239,52.748954,0,5.616369,0
43,21.727464,0.067060,10.139156,0.031294,10.139156,0.031294,0.000000,11.588308,10.139156,0.031294,11.677273,0.007400,0.088965,0.000056,0.031019,0.046812,1902,1578,512,324,4.870370,0,5.663182,0
44,18.164766,0.089482,6.737627,0.033190,6.737627,0.033190,0.000000,11.427139,6.737627,0.033190,12.023105,0.001187,0.595966,0.000059,0.030254,0.223167,10330,10127,512,203,49.886700,0,5.886349,0
45,16.311268,0.155345,4.526251,0.043107,4.526251,0.043107,0.000000,11.785018,4.526251,0.043107,13.207234,0.000645,1.422217,0.000069,0.029562,0.204194,20593,20488,512,105,195.123810,0,6.090542,0
46,28.384630,0.059012,15.279762,0.031767,15.279762,0.031767,0.000000,13.104868,15.279762,0.031767,13.517629,0.001921,0.412761,0.000059,0.030909,0.061271,7518,7037,512,481,14.629938,0,6.151814,0
47,23.415130,0.072269,9.971295,0.030776,9.971295,0.030776,0.000000,13.443835,9.971295,0.030776,13.527404,0.009594,0.083569,0.000059,0.030518,0.042517,1734,1410,512,324,4.351852,0,6.194331,0
48,24.989480,0.069223,11.631943,0.032221,11.631943,0.032221,0.000000,13.357536,11.631943,0.032221,13.691138,0.002319,0.333601,0.000057,0.031297,0.143408,6264,5903,512,361,16.351801,0,6.337739,0
51,27.109024,0.065323,13.495686,0.032520,13.495686,0.032520,0.000000,13.613339,13.495686,0.032520,14.109646,0.001752,0.496307,0.000062,0.031324,0.047619,8470,8055,512,415,19.409639,0,6.385358,0
52,21.255540,0.097057,7.371664,0.033661,7.371664,0.033661,0.000000,13.883876,7.371664,0.033661,14.451752,0.001523,0.567876,0.000060,0.031068,0.193264,9705,9486,512,219,43.315068,0,6.578622,0
54,28.096718,0.067378,13.967551,0.033495,13.967551,0.033495,0.000000,14.129166,13.967551,0.033495,15.194102,0.000934,1.064935,0.000065,0.030942,0.289315,16690,16273,512,417,39.023981,0,6.867937,0
56,18.544150,0.189226,3.654474,0.037291,3.654474,0.037291,0.000000,14.889676,3.654474,0.037291,15.626910,0.001353,0.737233,0.000064,0.029768,0.266453,11651,11553,512,98,117.887755,0,7.134390,0
57,16.452035,0.685501,0.964879,0.040203,0.964879,0.040203,0.000000,15.487157,0.964879,0.040203,15.801473,0.002955,0.314316,0.000059,0.027107,0.105131,5372,5348,512,24,222.833333,0,7.239521,0
58,26.975555,0.075987,11.223001,0.031614,11.223001,0.031614,0.000000,15.752553,11.223001,0.031614,15.890289,0.005552,0.137736,0.000048,0.031226,0.018823,3217,2862,512,355,8.061972,0,7.258344,0
59,29.047564,0.068997,13.200455,0.031355,13.200455,0.031355,0.000000,15.847109,13.200455,0.031355,15.926853,0.011014,0.079743,0.000055,0.031166,0.015205,1867,1446,512,421,3.434679,0,7.273549,0
61,27.907281,0.074419,12.224226,0.032598,12.224226,0.032598,0.000000,15.683055,12.224226,0.032598,16.200409,0.001918,0.517354,0.000061,0.031218,0.217598,8822,8447,512,375,22.525333,0,7.491147,0
63,17.732221,0.311092,1.849020,0.032439,1.849020,0.032439,0.000000,15.883201,1.849020,0.032439,15.967551,0.011325,0.084350,0.000060,0.030959,0.285140,1467,1410,512,57,24.736842,0,7.776287,0
64,22.819969,0.128202,7.004823,0.039353,7.004823,0.039353,0.000000,15.815146,7.004823,0.039353,17.182482,0.000850,1.367337,0.000068,0.031671,0.125886,20384,20206,512,178,113.516854,0,7.902172,0
