Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
0,11.897391,0.023795,11.897391,0.023795,11.897391,0.023795,0.000000,0.000000,11.897391,0.023795,0.364484,0.000050,0.364484,0.000050,0.023066,0.185878,7770,7270,0,500,14.540000,0,0.185878,0
2,16.559550,0.020856,16.539079,0.020830,16.539079,0.020830,0.000000,0.020471,16.539079,0.020830,0.414534,0.000054,0.394063,0.000051,0.020334,0.316746,8542,7748,512,794,9.758186,0,0.502624,0
3,7.855351,0.024859,7.619228,0.024111,7.619228,0.024111,0.000000,0.236124,7.619228,0.024111,0.355360,0.000127,0.119236,0.000043,0.023734,0.149405,3118,2802,512,316,8.867089,0,0.652029,0
5,4.074504,0.023552,4.068264,0.023516,4.068264,0.023516,0.000000,0.006240,4.068264,0.023516,0.245562,0.000046,0.239321,0.000045,0.022133,0.387364,5519,5346,512,173,30.901734,0,1.039393,0
7,12.242232,0.026730,12.238541,0.026722,12.238541,0.026722,0.000000,0.003691,12.238541,0.026722,1.780567,0.000065,1.776875,0.000065,0.022842,0.371745,27858,27400,512,458,59.825328,0,1.411137,0
16,8.648504,0.024362,7.940291,0.022367,7.940291,0.022367,0.000000,0.708214,7.940291,0.022367,0.791372,0.000555,0.083159,0.000058,0.022133,1.028524,1782,1427,512,355,4.019718,0,2.439661,0
22,10.168478,0.024211,10.166499,0.024206,10.166499,0.024206,0.000000,0.001978,10.166499,0.024206,0.307064,0.000047,0.305086,0.000047,0.023480,0.959972,6886,6466,512,420,15.395238,0,3.399633,0
24,3.031505,0.037894,3.028411,0.037855,3.028411,0.037855,0.000000,0.003094,3.028411,0.037855,0.928917,0.000059,0.925823,0.000059,0.026282,0.467858,15764,15684,512,80,196.050000,0,3.867491,0
30,12.731143,0.020701,12.284874,0.019975,12.284874,0.019975,0.000000,0.446269,12.284874,0.019975,0.524534,0.000264,0.078265,0.000039,0.019848,0.446514,2604,1989,512,615,3.234146,0,4.314005,0
34,6.823864,0.028672,6.817087,0.028643,6.817087,0.028643,0.000000,0.006777,6.817087,0.028643,1.775322,0.000067,1.768545,0.000066,0.021212,0.561384,26906,26668,512,238,112.050420,0,4.875389,0
43,8.429133,0.026016,7.485519,0.023103,7.485519,0.023103,0.000000,0.943615,7.485519,0.023103,1.061816,0.000673,0.118201,0.000075,0.022739,0.787792,1902,1578,512,324,4.870370,0,5.663182,0
47,7.932205,0.024482,7.427082,0.022923,7.427082,0.022923,0.000000,0.505122,7.427082,0.022923,0.549207,0.000390,0.044085,0.000031,0.022787,0.531150,1734,1410,512,324,4.351852,0,6.194331,0
54,9.381677,0.022498,9.374509,0.022481,9.374509,0.022481,0.000000,0.007168,9.374509,0.022481,0.977429,0.000060,0.970261,0.000060,0.020154,0.673606,16690,16273,512,417,39.023981,0,6.867937,0
59,9.028504,0.021445,8.492901,0.020173,8.492901,0.020173,0.000000,0.535604,8.492901,0.020173,0.620817,0.000429,0.085213,0.000059,0.019971,0.405612,1867,1446,512,421,3.434679,0,7.273549,0
63,1.419791,0.024909,1.326586,0.023273,1.326586,0.023273,0.000000,0.093205,1.326586,0.023273,0.153141,0.000109,0.059936,0.000043,0.022222,0.502738,1467,1410,512,57,24.736842,0,7.776287,0
65,4.513221,0.023145,4.504391,0.023099,4.504391,0.023099,0.000000,0.008830,4.504391,0.023099,0.189216,0.000051,0.180386,0.000049,0.022174,0.226698,3891,3696,512,195,18.953846,0,8.002984,0
66,7.895089,0.021571,7.835742,0.021409,7.835742,0.021409,0.000000,0.059347,7.835742,0.021409,0.205318,0.000065,0.145971,0.000046,0.021010,0.102398,3529,3163,512,366,8.642077,0,8.105382,0
71,6.243461,0.026344,6.236971,0.026316,6.236971,0.026316,0.000000,0.006491,6.236971,0.026316,0.739524,0.000058,0.733034,0.000058,0.023223,0.216787,12908,12671,512,237,53.464135,0,8.322168,0
76,6.853089,0.023631,6.513220,0.022459,6.513220,0.022459,0.000000,0.339869,6.513220,0.022459,0.435638,0.000225,0.095769,0.000049,0.022129,0.365578,2226,1936,512,290,6.675862,0,8.687747,0
79,1.259446,0.026238,1.252649,0.026097,1.252649,0.026097,0.000000,0.006797,1.252649,0.026097,0.049477,0.000034,0.042680,0.000029,0.025208,0.428841,1514,1466,512,48,30.541667,0,9.116588,0
80,9.641656,0.015329,9.634966,0.015318,9.634966,0.015318,0.000000,0.006690,9.634966,0.015318,0.990308,0.000061,0.983619,0.000060,0.013754,0.136447,16993,16364,512,629,26.015898,0,9.253035,0
86,6.999330,0.019335,6.519378,0.018009,6.519378,0.018009,0.000000,0.479952,6.519378,0.018009,0.788172,0.000156,0.308220,0.000061,0.017158,0.473137,5415,5053,512,362,13.958564,0,9.726172,0
98,7.581239,0.014749,7.563972,0.014716,7.563972,0.014716,0.000000,0.017267,7.563972,0.014716,0.092332,0.000050,0.075065,0.000041,0.014570,0.742330,2348,1834,512,514,3.568093,0,10.468502,0
99,5.308311,0.020031,5.302767,0.020010,5.302767,0.020010,0.000000,0.005544,5.302767,0.020010,0.050851,0.000036,0.045307,0.000032,0.019839,0.375000,1693,1428,512,265,5.388679,0,10.843502,0
100,8.205498,0.013386,8.198112,0.013374,8.198112,0.013374,0.000000,0.007386,8.198112,0.013374,0.161000,0.000047,0.153614,0.000045,0.013123,0.299037,4010,3397,512,613,5.541599,0,11.142539,0
101,8.039320,0.013557,8.028695,0.013539,8.028695,0.013539,0.000000,0.010625,8.028695,0.013539,0.533469,0.000058,0.522844,0.000057,0.012657,0.150375,9724,9131,512,593,15.397976,0,11.292914,0
102,1.369048,0.044163,0.906525,0.029243,0.906525,0.029243,0.000000,0.462522,0.906525,0.029243,0.565415,0.000252,0.102893,0.000046,0.025924,0.038634,2272,2241,512,31,72.290323,0,11.331547,0
104,5.858583,0.015707,5.856726,0.015702,5.856726,0.015702,0.000000,0.001857,5.856726,0.015702,0.723717,0.000060,0.721860,0.000060,0.013766,0.563558,12412,12039,512,373,32.276139,0,11.895106,0
105,6.808994,0.013483,6.277619,0.012431,6.277619,0.012431,0.000000,0.531375,6.277619,0.012431,0.607457,0.000380,0.076082,0.000048,0.012280,0.157740,2104,1599,512,505,3.166337,0,12.052846,0
113,3.412769,0.021330,3.411356,0.021321,3.411356,0.021321,0.000000,0.001413,3.411356,0.021321,0.553335,0.000057,0.551923,0.000057,0.017871,0.676267,9899,9739,512,160,60.868750,0,12.729113,0
115,3.729297,0.016723,3.475736,0.015586,3.475736,0.015586,0.000000,0.253561,3.475736,0.015586,0.363590,0.000212,0.110029,0.000064,0.015093,0.267092,1941,1718,512,223,7.704036,0,12.996205,0
117,6.322606,0.011015,6.322024,0.011014,6.322024,0.011014,0.000000,0.000582,6.322024,0.011014,0.046233,0.000033,0.045651,0.000032,0.010934,0.336502,1983,1409,512,574,2.454704,0,13.332707,0
118,7.044934,0.011437,7.038972,0.011427,7.038972,0.011427,0.000000,0.005962,7.038972,0.011427,1.653120,0.000069,1.647158,0.000069,0.008753,0.070725,24507,23891,512,616,38.784091,0,13.403432,0
