cdf,prefill_e2e_time_normalized
0.0,3.542608625932455e-05
0.01,3.659647783276468e-05
0.02,3.7766869406204815e-05
0.03,3.8937260979644955e-05
0.04,4.030846804951194e-05
0.05,4.173824630583676e-05
0.06,4.316802456216159e-05
0.07,4.394039693665952e-05
0.08,4.41713762320059e-05
0.09,4.440235552735228e-05
0.1,4.456679817865798e-05
0.11,4.459151387747825e-05
0.12,4.4616229576298524e-05
0.13,4.464600349487967e-05
0.14,4.472298746456234e-05
0.15,4.4799971434245e-05
0.16,4.4876955403927665e-05
0.17,4.5646751642715255e-05
0.18,4.6519186736185054e-05
0.19,4.739162182965485e-05
0.2,4.793032612697638e-05
0.21,4.8285478486416365e-05
0.22,4.864063084585634e-05
0.23,4.965478838883798e-05
0.24,5.158141464749267e-05
0.25,5.350804090614737e-05
0.26,5.5159906575725025e-05
0.27,5.566693645748166e-05
0.28,5.6173966339238296e-05
0.29,5.6680996220994925e-05
0.3,5.6878063658650386e-05
0.31,5.70647990148358e-05
0.32,5.725153437102122e-05
0.33,5.796522470787817e-05
0.34,5.8862203733664345e-05
0.35000000000000003,5.975918275945052e-05
0.36,6.0263609059982646e-05
0.37,6.04000171805891e-05
0.38,6.053642530119556e-05
0.39,6.067092728197575e-05
0.4,6.08007698098473e-05
0.41000000000000003,6.093061233771884e-05
0.42,6.110401014813957e-05
0.43,6.190895955552354e-05
0.44,6.271390896290751e-05
0.45,6.351885837029148e-05
0.46,6.3997346602682e-05
0.47000000000000003,6.441305383988145e-05
0.48,6.482876107708092e-05
0.49,6.526748925033904e-05
0.5,6.57207569621605e-05
0.51,6.617402467398195e-05
0.52,6.717878245363721e-05
0.53,6.905673284069596e-05
0.54,7.093468322775472e-05
0.55,7.269386600611872e-05
0.56,7.383545721927008e-05
0.5700000000000001,7.497704843242143e-05
0.58,7.611863964557279e-05
0.59,8.24956381580576e-05
0.6,8.923369924291021e-05
0.61,9.597176032776291e-05
0.62,0.00010157426364512175
0.63,0.00010671222060305137
0.64,0.00011185017756098093
0.65,0.00011606815255169704
0.66,0.00011930481344405205
0.67,0.00012254147433640706
0.68,0.0001299796411644357
0.6900000000000001,0.00014949713755752525
0.7000000000000001,0.00016901463395061525
0.71,0.00018846463751354147
0.72,0.00020588985617156147
0.73,0.00022331507482958125
0.74,0.00024074029348760122
0.75,0.00024704291599889354
0.76,0.0002506761154349713
0.77,0.0002543093148710491
0.78,0.0002633934963960988
0.79,0.0002764144983187395
0.8,0.0002894355002413801
0.81,0.00030737006754051616
0.8200000000000001,0.00033423839006964276
0.8300000000000001,0.00036110671259877007
0.84,0.00038636355656058974
0.85,0.0004007429201930852
0.86,0.00041512228382558085
0.87,0.0004295016474580763
0.88,0.0004652220952418706
0.89,0.0005032290877561608
0.9,0.0005412360802704515
0.91,0.0005747322986044688
0.92,0.0006060805292335944
0.93,0.0006374287598627202
0.9400000000000001,0.0015132328516971288
0.9500000000000001,0.003414447632138008
0.96,0.005315662412578864
0.97,0.006792148660418708
0.98,0.0068124227964835695
0.99,0.006832696932548431
1.0,0.0068529710686132915
