Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
2,15.924080,0.031848,15.924080,0.031848,15.924080,0.031848,0.000000,0.000000,15.924080,0.031848,0.364484,0.000050,0.364484,0.000050,0.031119,0.185878,7770,7270,0,500,14.540000,0,0.185878,0
3,18.597910,0.037955,18.597910,0.037955,18.597910,0.037955,0.000000,0.000000,18.597910,0.037955,0.375335,0.000048,0.375335,0.000048,0.037189,0.258105,8324,7834,0,490,15.987755,0,0.258105,1
4,25.981903,0.032723,25.961431,0.032697,25.961431,0.032697,0.000000,0.020471,25.961431,0.032697,0.414534,0.000054,0.394063,0.000051,0.032201,0.316746,8542,7748,512,794,9.758186,0,0.502624,0
5,12.521395,0.039625,12.516559,0.039609,12.516559,0.039609,0.000000,0.004836,12.516559,0.039609,0.111250,0.000040,0.106414,0.000038,0.039273,0.393923,3118,2802,512,316,8.867089,0,0.652029,1
6,0.639216,0.213072,0.415456,0.138485,0.415456,0.138485,0.000000,0.223760,0.415456,0.138485,0.592160,0.000081,0.368401,0.000051,0.015685,0.161769,7275,7272,512,3,2424.000000,0,0.664393,0
7,5.652319,0.032672,5.649704,0.032657,5.649704,0.032657,0.000000,0.002615,5.649704,0.032657,0.236551,0.000044,0.233936,0.000044,0.031305,0.387364,5519,5346,512,173,30.901734,0,1.039393,1
8,16.141832,0.035633,16.132275,0.035612,16.132275,0.035612,0.000000,0.009557,16.132275,0.035612,1.489259,0.000063,1.479702,0.000063,0.032346,0.553985,24106,23653,512,453,52.214128,0,1.218377,0
9,21.270465,0.046442,21.268834,0.046439,21.268834,0.046439,0.000000,0.001630,21.268834,0.046439,1.776627,0.000065,1.774997,0.000065,0.042563,0.371745,27858,27400,512,458,59.825328,0,1.411137,1
10,14.451917,0.035950,13.213689,0.032870,13.213689,0.032870,0.000000,1.238227,13.213689,0.032870,1.862302,0.000169,0.624074,0.000057,0.031317,0.209897,11412,11010,512,402,27.388060,0,1.428274,0
11,27.286497,0.044732,25.645406,0.042042,25.645406,0.042042,0.000000,1.641091,25.645406,0.042042,2.753266,0.000153,1.112175,0.000062,0.040218,0.091954,18572,17962,512,610,29.445902,0,1.503092,1
12,4.598341,0.064765,2.900646,0.040854,2.900646,0.040854,0.000000,1.697695,2.900646,0.040854,2.517909,0.000179,0.820214,0.000058,0.029302,0.132730,14127,14056,512,71,197.971831,0,1.561004,0
13,25.653317,0.063814,23.321741,0.058014,23.321741,0.058014,0.000000,2.331576,23.321741,0.058014,12.073060,0.000138,9.741485,0.000111,0.033782,0.384673,88083,87681,512,402,218.111940,0,1.887765,1
14,20.153594,0.036777,18.125945,0.033077,18.125945,0.033077,0.000000,2.027650,18.125945,0.033077,2.378676,0.000348,0.351027,0.000051,0.032436,0.455816,7384,6836,512,548,12.474453,0,2.016820,0
15,23.822638,0.067296,12.184454,0.034419,12.184454,0.034419,0.000000,11.638184,12.184454,0.034419,11.830243,0.004687,0.192059,0.000076,0.033877,0.345338,2878,2524,512,354,7.129944,0,2.233103,1
16,2.833892,0.202421,0.773582,0.055256,0.773582,0.055256,0.000000,2.060310,0.773582,0.055256,2.493910,0.000318,0.433600,0.000055,0.024284,0.289524,7850,7836,512,14,559.714286,0,2.306345,0
17,16.954622,0.116928,5.256433,0.036251,5.256433,0.036251,0.000000,11.698190,5.256433,0.036251,12.275453,0.001236,0.577263,0.000058,0.032270,0.105465,10075,9930,512,145,68.482759,0,2.338568,1
18,13.853788,0.039025,11.523324,0.032460,11.523324,0.032460,0.000000,2.330464,11.523324,0.032460,2.409778,0.001689,0.079314,0.000056,0.032237,0.133317,1782,1427,512,355,4.019718,0,2.439661,0
19,28.911361,0.062042,16.777944,0.036004,16.777944,0.036004,0.000000,12.133417,16.777944,0.036004,12.927110,0.000968,0.793693,0.000059,0.034301,0.109337,13824,13358,512,466,28.665236,0,2.447904,1
20,35.806342,0.038543,33.649565,0.036221,33.649565,0.036221,0.000000,2.156778,33.649565,0.036221,3.467751,0.000165,1.310973,0.000062,0.034810,0.228008,21947,21018,512,929,22.624327,0,2.667669,0
