cdf,prefill_time_execution_plus_preemption_normalized,replica
0.0,1.615697124146891e-05,0
0.01,2.8022930715185507e-05,0
0.02,3.437349720081136e-05,0
0.03,4.104068975420295e-05,0
0.04,4.2390551785311025e-05,0
0.05,4.727279820526361e-05,0
0.06,4.75760763899904e-05,0
0.07,4.843997413291047e-05,0
0.08,4.969277290837008e-05,0
0.09,5.061374695641087e-05,0
0.1,5.2372697766253e-05,0
0.11,5.305665095276182e-05,0
0.12,5.362866639191877e-05,0
0.13,5.385340582609476e-05,0
0.14,5.403935280819577e-05,0
0.15,5.415100265025394e-05,0
0.16,5.428618364008145e-05,0
0.17,5.457878417406334e-05,0
0.18,5.533201968373951e-05,0
0.19,5.581049621181804e-05,0
0.2,5.5954156128189085e-05,0
0.21,5.6093452301071034e-05,0
0.22,5.616685332116133e-05,0
0.23,5.630188181789979e-05,0
0.24,5.6710516805225673e-05,0
0.25,5.695937735722051e-05,0
0.26,5.734116996853091e-05,0
0.27,5.786505150123513e-05,0
0.28,5.815727966248638e-05,0
0.29,5.8363814127501515e-05,0
0.3,5.8440248887523705e-05,0
0.31,5.848226827263858e-05,0
0.32,5.855309917889034e-05,0
0.33,5.86394279249232e-05,0
0.34,5.8763975397508984e-05,0
0.35000000000000003,5.8798305513608764e-05,0
0.36,5.882496428336796e-05,0
0.37,5.884671583690019e-05,0
0.38,5.8955583942449435e-05,0
0.39,5.908051795518957e-05,0
0.4,5.921464716701623e-05,0
0.41000000000000003,5.925794161106483e-05,0
0.42,5.939283799863912e-05,0
0.43,5.949860712709396e-05,0
0.44,5.955963068836694e-05,0
0.45,6.013805150576621e-05,0
0.46,6.067704570381573e-05,0
0.47000000000000003,6.090444027636979e-05,0
0.48,6.105371573357378e-05,0
0.49,6.138115447745237e-05,0
0.5,6.145420151668012e-05,0
0.51,6.160764324184707e-05,0
0.52,6.189048525483738e-05,0
0.53,6.204107581411921e-05,0
0.54,6.217737534023742e-05,0
0.55,6.232009840874872e-05,0
0.56,6.235325108143742e-05,0
0.5700000000000001,6.256586168265633e-05,0
0.58,6.279346821976744e-05,0
0.59,6.28937112420874e-05,0
0.6,6.304797827042469e-05,0
0.61,6.344289537471669e-05,0
0.62,6.360142574683819e-05,0
0.63,6.375513150799799e-05,0
0.64,6.429898080523235e-05,0
0.65,6.446934688347857e-05,0
0.66,6.472508853765925e-05,0
0.67,6.485910870760147e-05,0
0.68,6.511524734331166e-05,0
0.6900000000000001,6.537204428364299e-05,0
0.7000000000000001,6.553117043118516e-05,0
0.71,6.561638341409709e-05,0
0.72,6.5936929826123e-05,0
0.73,6.636057100878196e-05,0
0.74,6.643667812714493e-05,0
0.75,6.657135013114402e-05,0
0.76,6.690276605819418e-05,0
0.77,6.744028017783497e-05,0
0.78,6.7692751932543e-05,0
0.79,6.791186428976912e-05,0
0.8,6.836556086686519e-05,0
0.81,6.873082854405938e-05,0
0.8200000000000001,6.906000401874778e-05,0
0.8300000000000001,6.929025314127303e-05,0
0.84,6.96314491720459e-05,0
0.85,7.019428415491158e-05,0
0.86,7.048952925161906e-05,0
0.87,7.109402962739453e-05,0
0.88,7.116204376372917e-05,0
0.89,7.18588554683151e-05,0
0.9,7.251650887302543e-05,0
0.91,7.287453644327861e-05,0
0.92,7.305968279126016e-05,0
0.93,7.410275760828838e-05,0
0.9400000000000001,7.455264615691159e-05,0
0.9500000000000001,7.524550147062788e-05,0
0.96,7.574197477435095e-05,0
0.97,7.746628228656384e-05,0
0.98,8.016107112216032e-05,0
0.99,8.165560847833439e-05,0
1.0,8.283873333332144e-05,0
0.0,1.0653970395967868e-05,1
0.01,4.4371757560665375e-05,1
0.02,4.623632909090843e-05,1
0.03,4.760418698416556e-05,1
0.04,4.807255107009982e-05,1
0.05,5.011311761258058e-05,1
0.06,5.055653519264221e-05,1
0.07,5.141926102362184e-05,1
0.08,5.309233217724119e-05,1
0.09,5.341663281431033e-05,1
0.1,5.37213245686496e-05,1
0.11,5.463038531126771e-05,1
0.12,5.4897197474971955e-05,1
0.13,5.5037099949168925e-05,1
0.14,5.5449127075872175e-05,1
0.15,5.560949040743825e-05,1
0.16,5.609935204616992e-05,1
0.17,5.615685497819392e-05,1
0.18,5.6336571424461545e-05,1
0.19,5.6903257639170395e-05,1
0.2,5.7298556043000997e-05,1
0.21,5.741881473182231e-05,1
0.22,5.749464327651422e-05,1
0.23,5.7525507905863054e-05,1
0.24,5.754364698442523e-05,1
0.25,5.769648767697926e-05,1
0.26,5.7862438524059306e-05,1
0.27,5.835851086709831e-05,1
0.28,5.888442952722547e-05,1
0.29,5.935672291431071e-05,1
0.3,5.952519112340736e-05,1
0.31,5.955665754569944e-05,1
0.32,5.9615522457187686e-05,1
0.33,5.9636200710750486e-05,1
0.34,5.9683285862244254e-05,1
0.35000000000000003,5.982878368101254e-05,1
0.36,6.0040988650644635e-05,1
0.37,6.025283010896053e-05,1
0.38,6.028519102869907e-05,1
0.39,6.034678751708883e-05,1
0.4,6.052550772895533e-05,1
0.41000000000000003,6.0742698042379266e-05,1
0.42,6.115206009028153e-05,1
0.43,6.13664675776383e-05,1
0.44,6.14621622850848e-05,1
0.45,6.158309145643655e-05,1
0.46,6.163187469505573e-05,1
0.47000000000000003,6.166641066392572e-05,1
0.48,6.177303818514841e-05,1
0.49,6.203027356753211e-05,1
0.5,6.215778732793079e-05,1
0.51,6.232362021010938e-05,1
0.52,6.261877058018429e-05,1
0.53,6.284985420218066e-05,1
0.54,6.295516537022783e-05,1
0.55,6.30282092265923e-05,1
0.56,6.311395195617718e-05,1
0.5700000000000001,6.348177531451952e-05,1
0.58,6.350481177290364e-05,1
0.59,6.353258469025625e-05,1
0.6,6.39852355484437e-05,1
0.61,6.420132563812087e-05,1
0.62,6.500149744342851e-05,1
0.63,6.536353658674454e-05,1
0.64,6.565901521306757e-05,1
0.65,6.578820706211199e-05,1
0.66,6.581495920867987e-05,1
0.67,6.662278783047862e-05,1
0.68,6.668684640914342e-05,1
0.6900000000000001,6.691250627565872e-05,1
0.7000000000000001,6.717077535276713e-05,1
0.71,6.764397655892161e-05,1
0.72,6.769917609088306e-05,1
0.73,6.829866861703855e-05,1
0.74,6.884232731255465e-05,1
0.75,6.893857062011685e-05,1
0.76,6.9032356143348e-05,1
