cdf,prefill_time_execution_plus_preemption,replica
0.0,0.04055234502216942,0
0.01,0.05677344532326188,0
0.02,0.06906608199852257,0
0.03,0.08338255857433317,0
0.04,0.08557496689091636,0
0.05,0.08566207479577041,0
0.06,0.08717956912921018,0
0.07,0.09174816644889014,0
0.08,0.09303575328536481,0
0.09,0.09359508688664846,0
0.1,0.0966916493493784,0
0.11,0.0999152510021784,0
0.12,0.10686262222538574,0
0.13,0.11688711614156008,0
0.14,0.12365740986060036,0
0.15,0.13392624590462657,0
0.16,0.13720778969931757,0
0.17,0.14237103446313168,0
0.18,0.14314176352554497,0
0.19,0.14549817226616177,0
0.2,0.15498260811314019,0
0.21,0.16299399585329155,0
0.22,0.16814543093296208,0
0.23,0.18008489335472835,0
0.24,0.20211065026020833,0
0.25,0.20837717056427163,0
0.26,0.21520994904219357,0
0.27,0.23395157503716618,0
0.28,0.24192878361813827,0
0.29,0.2649082930038305,0
0.3,0.29452737845905413,0
0.31,0.29998578417840716,0
0.32,0.3148864471979124,0
0.33,0.32252629511881575,0
0.34,0.32824579943710647,0
0.35000000000000003,0.3424070099131509,0
0.36,0.34445977228506947,0
0.37,0.3467647019755789,0
0.38,0.370602540247274,0
0.39,0.37509327813654303,0
0.4,0.3823222534248629,0
0.41000000000000003,0.4045955326210137,0
0.42,0.43473938719136657,0
0.43,0.4494884225034397,0
0.44,0.4712866786787902,0
0.45,0.5027570875211596,0
0.46,0.512507132039139,0
0.47000000000000003,0.5152710768182165,0
0.48,0.5174344586657774,0
0.49,0.5330199774696236,0
0.5,0.549905949978708,0
0.51,0.5544956983137049,0
0.52,0.56357984859029,0
0.53,0.5789850405233107,0
0.54,0.5913470121241009,0
0.55,0.5950057684838023,0
0.56,0.6157303022233191,0
0.5700000000000001,0.621861104215003,0
0.58,0.6427551876636274,0
0.59,0.6581590811637225,0
0.6,0.699482333870644,0
0.61,0.7053201765278659,0
0.62,0.707587716562591,0
0.63,0.7443973206001228,0
0.64,0.783293780564628,0
0.65,0.8400212343257889,0
0.66,0.8603516888872346,0
0.67,0.8673449142964748,0
0.68,0.8971468764989938,0
0.6900000000000001,0.9339665491001604,0
0.7000000000000001,0.9900065799338562,0
0.71,1.0282928095162507,0
0.72,1.0324435757219121,0
0.73,1.0413265677270336,0
0.74,1.067720221970825,0
0.75,1.1503097157669053,0
0.76,1.1738347676392387,0
0.77,1.2239599122166434,0
0.78,1.2439710711538483,0
0.79,1.3143628838424721,0
0.8,1.3939429918411257,0
0.81,1.4392924841171941,0
0.8200000000000001,1.517100669091949,0
0.8300000000000001,1.5875914006952796,0
0.84,1.7075885980895278,0
0.85,1.7351713530330748,0
0.86,1.7468884739161668,0
0.87,1.7676210079124932,0
0.88,1.7818323498388828,0
0.89,1.7889658305329985,0
0.9,1.8218775315399465,0
0.91,1.877333535231545,0
0.92,1.9199340356295216,0
0.93,1.9937092248682566,0
0.9400000000000001,2.047240108540337,0
0.9500000000000001,2.06928754458295,0
0.96,2.0938224425062804,0
0.97,2.1331856260348125,0
0.98,2.5365178761461573,0
0.99,3.21004515828465,0
1.0,3.368442161843703,0
0.0,0.0790943426741677,1
0.01,0.07991898414873322,1
0.02,0.08155327108889004,1
0.03,0.08432841611033169,1
0.04,0.08572892702488816,1
0.05,0.08617308873496618,1
0.06,0.08730036578072031,1
0.07,0.08829401134875099,1
0.08,0.09351135844119825,1
0.09,0.10327256649496505,1
0.1,0.10761773778454256,1
0.11,0.11211602100736244,1
0.12,0.1154906519930725,1
0.13,0.12021095996722089,1
0.14,0.1267020362106706,1
0.15,0.1341727388838276,1
0.16,0.14000914332786352,1
0.17,0.14423961611063532,1
0.18,0.15885491963518972,1
0.19,0.1636781114014623,1
0.2,0.18081244259449536,1
0.21,0.1945205955714386,1
0.22,0.23396337537439044,1
0.23,0.24485058691352607,1
0.24,0.2563385025949947,1
0.25,0.2620590234953042,1
0.26,0.27759849137416076,1
0.27,0.30954910758396254,1
0.28,0.31529949519174383,1
0.29,0.3291729108765898,1
0.3,0.3362689497814941,1
0.31,0.3495371411921786,1
0.32,0.36456343816394227,1
0.33,0.36962339070999156,1
0.34,0.37253135282402655,1
0.35000000000000003,0.3744371300301185,1
0.36,0.3902643670290118,1
0.37,0.3991425361180923,1
0.38,0.41239873756105294,1
0.39,0.4272698865965816,1
0.4,0.4299749784584947,1
0.41000000000000003,0.4397459702798973,1
0.42,0.44913053116906493,1
0.43,0.47300087180552963,1
0.44,0.4993528012464167,1
0.45,0.5121142240834143,1
0.46,0.5225261014491717,1
0.47000000000000003,0.5672176219797672,1
0.48,0.5845893290836909,1
0.49,0.6001521785906875,1
0.5,0.6137250569684056,1
0.51,0.6222206569051095,1
0.52,0.6333556359972167,1
0.53,0.6368683989444562,1
0.54,0.6438969022130682,1
0.55,0.647152413963959,1
0.56,0.6561995164517098,1
0.5700000000000001,0.665951140862804,1
0.58,0.6810575339036213,1
0.59,0.706007912062394,1
0.6,0.7457409216026548,1
0.61,0.7674479865663528,1
0.62,0.8061041794787684,1
0.63,0.8277018619560041,1
0.64,0.839355273427197,1
0.65,0.8599652737899791,1
0.66,0.873665097728003,1
0.67,0.8776221667414026,1
0.68,0.8986728206354518,1
0.6900000000000001,0.9147696289307291,1
0.7000000000000001,0.9299413696793514,1
0.71,0.9492358333618438,1
0.72,0.9789871293577601,1
0.73,1.009844234991047,1
0.74,1.0332072946789186,1
0.75,1.0859452974157602,1
0.76,1.2003712199702532,1
0.77,1.2270314009710728,1
0.78,1.2630370058349603,1
0.79,1.357230148602201,1
0.8,1.4404427287462889,1
0.81,1.5246757386153116,1
0.8200000000000001,1.5423067674127713,1
0.8300000000000001,1.564305538298998,1
0.84,1.5834978194904683,1
0.85,1.6509439578011094,1
0.86,1.7267204424037517,1
0.87,1.8078396549998041,1
0.88,1.8872349937789537,1
0.89,1.9285339694565853,1
0.9,2.006530456250196,1
0.91,2.156902303103368,1
0.92,2.6010184963857204,1
0.93,2.831529156789155,1
0.9400000000000001,3.5103075111990516,1
0.9500000000000001,6.084705932212735,1
0.96,7.8559408329850875,1
0.97,8.360207180036877,1
0.98,9.600941976829478,1
0.99,10.536573424928704,1
1.0,16.86230459891851,1
0.0,0.06629612657363637,2
0.01,0.07725640645196066,2
0.02,0.07889755029682263,2
0.03,0.0811628069864885,2
0.04,0.08183942420249053,2
0.05,0.08400517351192782,2
0.06,0.08419189621732812,2
0.07,0.08437449443096362,2
0.08,0.08517906175769156,2
0.09,0.08636431295256777,2
0.1,0.08957370441496196,2
0.11,0.09372425492250167,2
0.12,0.09472690476824142,2
0.13,0.0971148795194905,2
0.14,0.09818759521523425,2
0.15,0.10395168773836864,2
0.16,0.10837750505164535,2
0.17,0.11082987382066356,2
0.18,0.11723895051571176,2
0.19,0.1338916040358275,2
0.2,0.1411053226969486,2
0.21,0.14741063956094788,2
0.22,0.16498918426125622,2
0.23,0.1703884075166587,2
0.24,0.1738254237240187,2
0.25,0.19455458717233487,2
0.26,0.21448774018247238,2
0.27,0.2223258257158045,2
0.28,0.2364879328918588,2
0.29,0.2484781747768905,2
0.3,0.2661534301052516,2
0.31,0.2911474378336567,2
0.32,0.30779567035618927,2
0.33,0.32005899735159193,2
0.34,0.3398259262166798,2
0.35000000000000003,0.343436495739877,2
0.36,0.3471495586475203,2
0.37,0.3543212756781426,2
0.38,0.3599168740577408,2
0.39,0.3639928893263483,2
0.4,0.3703878073829657,2
0.41000000000000003,0.3751586617440968,2
0.42,0.3967893913696976,2
0.43,0.4021494273869047,2
0.44,0.41157652819636836,2
0.45,0.42264984257666605,2
0.46,0.439164755727854,2
0.47000000000000003,0.49609400636515155,2
0.48,0.520110523519786,2
0.49,0.524339027454394,2
0.5,0.5269880124793218,2
0.51,0.5305180965749441,2
0.52,0.5330247469326853,2
0.53,0.5470919798952826,2
0.54,0.5679602381824105,2
0.55,0.5875575770077035,2
0.56,0.5958329019443233,2
0.5700000000000001,0.607967526220765,2
0.58,0.6512653286695378,2
0.59,0.67886676576688,2
0.6,0.7449298957119305,2
0.61,0.78999969069062,2
0.62,0.8398058367792044,2
0.63,0.8688245526107577,2
0.64,0.887522735108065,2
0.65,0.8924427876963211,2
0.66,0.9016040731402782,2
0.67,0.9253092044800214,2
0.68,0.9759618986540703,2
0.6900000000000001,0.9967132591966649,2
0.7000000000000001,1.0211347965829918,2
0.71,1.054928748144992,2
0.72,1.0895666551729346,2
0.73,1.1224817240897407,2
0.74,1.1445548542392106,2
0.75,1.1574264243598078,2
0.76,1.2095308044647115,2
0.77,1.2887568793039843,2
0.78,1.3070479076204429,2
0.79,1.3223422867698567,2
0.8,1.3719455368212496,2
0.81,1.4025942082756102,2
0.8200000000000001,1.4187127575199525,2
0.8300000000000001,1.4505408022984454,2
0.84,1.478184446467485,2
