request_id,estimated_ttft,current_time,estimated_completion_time,deadline,time_until_deadline,slack,remaining_prefill_tokens,queue_position,ahead_prefill_tokens,is_violation
1,0.3002225937726622,0.18587822790020653,0.4861008216728687,400.1858782279002,400.0,399.6997774062273,7270,0,0,False
2,0.30236999059194397,0.27291362743376524,0.5752836180257093,400.2581054419,399.98519181446625,399.6828218238743,7322,0,0,False
3,0.6011885172135373,0.5230951625556621,1.1242836797691993,400.5026239187698,399.97952875621417,399.37834023900064,7236,1,7322,False
4,0.393386578855348,0.6711418221760002,1.0645284010313483,400.65202864740434,399.9808868252283,399.58750024637294,2290,1,7236,False
5,0.6725481653619775,0.6711418221760002,1.3436899875379775,400.6643926149444,399.9932507927684,399.3207026274064,6760,2,9526,False
6,0.5733549507482313,1.0617157435468456,1.6350706942950768,401.0393926149444,399.97767687139753,399.4043219206493,4834,2,9050,False
7,1.5289878314212955,1.2230920057271835,2.7520798371484787,401.2183771680831,399.9952851623559,398.4662973309346,23141,3,13884,False
8,2.265627532620298,1.423599124026301,3.689226656646599,401.41113714321625,399.98753801918997,397.7219104865697,26888,2,27975,False
9,2.6991539135591434,1.4474786917336908,4.146632605292834,401.4282741652495,399.9807954735158,397.28164155995665,10498,3,54863,False
10,3.4197707307988896,1.5217819862158597,4.9415527170147495,401.50309153429083,399.981309548075,396.5615388172761,17450,4,65361,False
11,3.9790850100364326,1.573356308062639,5.5524413180990715,401.56100440525046,399.98764809718784,396.0085630871514,13544,5,82811,False
12,7.379198800720358,1.9105899294747049,9.289788730195063,401.88776461499333,399.9771746855186,392.59797588479825,87169,5,91521,False
13,6.6847224101461,2.0388017251316533,8.723524135277753,402.0168203329568,399.97801860782516,393.29329619767907,6324,5,155549,False
14,6.767810148615233,2.2472312098947707,9.015041358510004,402.2331027873161,399.98587157742134,393.2180614288061,2012,6,161873,False
15,7.070262731392534,2.3323622394169394,9.402624970809473,402.3063445298344,399.97398229041744,392.9037195590249,7324,7,163885,False
16,7.459189332238604,2.361582335764329,9.820771668002934,402.33856766773044,399.9769853319661,392.51779599972747,9418,8,171209,False
17,7.496975257039427,2.4515118763904984,9.948487133429925,402.4396612138508,399.9881493374603,392.4911740804209,915,9,180627,False
18,8.027464863587381,2.4515118763904984,10.47897673997788,402.4479042866453,399.9963924102548,391.96892754666743,12846,10,181542,False
19,8.87428254005261,2.674202653862226,11.548485193914836,402.66766913028573,399.9934664764235,391.1191839363709,20506,11,194388,False
20,9.56016934334974,2.8097978516677844,12.369967195017525,402.7925142299717,399.9827163783039,390.42254703495416,16609,12,214894,False
21,10.648445273706132,2.988052790346447,13.63649806405258,402.9699117525846,399.98185896223816,389.333413688532,26353,13,231503,False
22,10.898658299245136,3.024735163813837,13.923393463058973,403.0246330399578,399.99989787614396,389.1012395768988,6059,14,257856,False
23,11.144535235052897,3.4124405624877334,14.55697579754063,403.3996330399578,399.98719247747005,388.84265724241715,5954,15,263915,False
24,10.502422289994971,3.68103570656963,14.183457996564602,403.67914042254046,399.99810471597084,389.4956824259759,11339,15,242981,False
25,11.128966608113105,3.8831279847133584,15.012094592826463,403.8674912794396,399.9843632947262,388.8553966866131,15172,16,254320,False
26,13.025365776094976,3.9135283127407483,16.938894088835724,403.8945493159555,399.9810210032147,386.95565522711973,45922,17,269492,False
27,13.06885056168543,3.9755958677395276,17.04444642942496,403.9731381342806,399.9975422665411,386.9286917048556,1053,18,315414,False
28,13.30465125087964,4.0071008009509175,17.31175205183056,403.97873714941585,399.9716363484649,386.66698509758527,5710,19,316467,False
29,13.603552369686591,4.0071008009509175,17.61065317063751,403.9996844203085,399.99258361935756,386.38903124967095,7238,20,322177,False
30,14.03117340937241,4.170733854335865,18.201907263708275,404.14331041326625,399.97257655893037,385.94140314955797,10355,21,329415,False
31,14.09216773825855,4.3438463460568135,18.436014084315364,404.3140053440923,399.9701589980355,385.877991259777,1477,22,339770,False
32,14.72672349835631,4.718740332104425,19.445463830460735,404.6890053440923,399.9702650119879,385.2435415136316,15366,23,341247,False
33,14.883896427090665,4.758279331747815,19.64217575883848,404.7382886052272,399.98000927347937,385.0961128463887,3806,24,356613,False
34,15.246145752066427,4.798110470399204,20.04425622246563,404.796134282486,399.9980238120868,384.7518780600204,8772,25,360419,False
35,16.326286352165155,4.8787326883099835,21.20501904047514,404.8753893489243,399.9966566606143,383.67037030844915,26156,26,369191,False
36,17.013246853871927,4.919856162065374,21.9331030159373,404.90164792406034,399.98179176199494,382.968544908123,16635,27,395347,False
37,17.107938794383717,4.919856162065374,22.027794956449092,404.91904440501673,399.99918824295133,382.89124944856763,2293,28,411982,False
38,17.153777457256847,5.003207190472153,22.156984647729,404.9997569844246,399.99654979395245,382.8427723366956,1110,29,414275,False
39,17.30359968149443,5.045608757539543,22.349208439033973,405.03192685513307,399.98631809759354,382.68271841609914,3628,30,415385,False
40,17.387761118373202,5.1742029632537125,22.561964081626915,405.17043924648766,399.99623628323394,382.60847516486075,2038,31,419013,False
41,17.032779905708857,5.261944201196491,22.29472410690535,405.242282437162,399.98033823596546,382.9475583302566,1902,31,410553,False
