request_id,outsourced_at,arrived_at,queued_at,was_running,num_prefill_tokens,num_decode_tokens,num_processed_tokens,api_cost_usd,replica_id
122,77.284376,13.767644,13.767644,False,6565,89,0,0.009096,0
103,80.407315,11.331547,11.331547,False,2241,31,0,0.003111,0
115,80.460727,12.753428,12.753428,False,4047,228,0,0.007339,0
88,80.623509,9.803631,9.803631,True,39415,4283,0,0.092099,0
104,80.623509,11.706547,11.706547,False,2940,508,0,0.008755,0
100,86.009859,10.843502,10.843502,False,1428,265,0,0.004435,0
126,86.069600,13.936326,13.936326,False,2407,456,0,0.007569,0
91,86.129652,9.933175,9.933175,True,47775,3188,0,0.091599,0
116,86.129652,12.996205,12.996205,False,1718,223,0,0.004378,0
92,87.046006,10.082147,10.082147,True,15632,2391,0,0.043450,0
101,87.046006,11.142539,11.142539,False,3397,613,0,0.010376,0
99,87.490378,10.468502,10.468502,False,1834,514,0,0.007432,0
107,87.553322,12.127430,12.127430,False,2904,621,0,0.009840,0
127,87.650480,13.986359,13.986359,False,1419,396,0,0.005734,0
121,87.683527,13.636471,13.636471,False,5676,494,0,0.012035,0
106,87.890495,12.052846,12.052846,False,1599,505,0,0.007049,0
118,87.962360,13.332707,13.332707,False,1409,574,0,0.007501,0
117,87.998911,13.173826,13.173826,False,9032,232,0,0.013610,0
128,89.135309,14.005872,14.005872,False,1408,439,0,0.006150,0
114,89.135309,12.729113,12.729113,False,9739,160,0,0.013774,0
113,89.274992,12.620907,12.620907,False,8999,306,0,0.014309,0
102,89.611063,11.292914,11.292914,False,9131,593,0,0.017344,0
94,89.976974,10.215967,10.215967,True,23764,6461,0,0.094315,0
109,89.976974,12.179823,12.179823,False,14058,17,0,0.017742,0
105,95.945023,11.895106,11.895106,False,12039,373,0,0.018779,0
110,96.547499,12.470943,12.470943,False,14201,358,0,0.021331,0
108,97.108977,12.167154,12.167154,False,12512,529,0,0.020930,0
111,97.619635,12.546992,12.546992,False,16976,182,0,0.023040,0
96,98.300478,10.385199,10.385199,True,72164,11307,0,0.203275,0
123,98.300478,13.778672,13.778672,False,15966,338,0,0.023338,0
97,99.528088,10.441339,10.441339,True,20353,6782,0,0.093261,0
125,99.528088,13.851176,13.851176,False,13695,566,0,0.022779,0
112,105.512134,12.575255,12.575255,False,23320,463,0,0.033780,0
119,106.473959,13.403432,13.403432,False,23891,616,0,0.036024,0
98,107.419068,10.452806,10.452806,True,77064,44661,0,0.542940,0
124,107.419068,13.845862,13.845862,False,70157,400,0,0.091696,0
