cdf,prefill_time_execution_plus_preemption_normalized
0.0,4.145632402997966e-05
0.01,4.295636184043952e-05
0.02,4.560768270224706e-05
0.03,4.8469837384390486e-05
0.04,4.928028873777557e-05
0.05,5.009367423963804e-05
0.06,5.0238442260661066e-05
0.07,5.058816874633086e-05
0.08,5.0711332837784104e-05
0.09,5.1410358317546076e-05
0.1,5.2407878273776834e-05
0.11,5.257231137659137e-05
0.12,5.281259692893971e-05
0.13,5.319080208861082e-05
0.14,5.371064881976019e-05
0.15,5.4002383153644475e-05
0.16,5.431596667643041e-05
0.17,5.482025081831538e-05
0.18,5.533424585427317e-05
0.19,5.5452929208994e-05
0.2,5.5844835660478074e-05
0.21,5.6074562954475285e-05
0.22,5.61021262527397e-05
0.23,5.63068865742594e-05
0.24,5.656599275177129e-05
0.25,5.6806606283792035e-05
0.26,5.7193595371244614e-05
0.27,5.741172043808828e-05
0.28,5.777333774351208e-05
0.29,5.783412424445892e-05
0.3,5.798452307755619e-05
0.31,5.816246762008174e-05
0.32,5.819842365749863e-05
0.33,5.835054721769827e-05
0.34,5.8577093458435996e-05
0.35000000000000003,5.9079399150603684e-05
0.36,5.938415360335672e-05
0.37,5.953690305617469e-05
0.38,5.981545911606217e-05
0.39,5.988390588298423e-05
0.4,6.024821346832426e-05
0.41000000000000003,6.048953188512172e-05
0.42,6.086272451388075e-05
0.43,6.114026686476626e-05
0.44,6.145135301308307e-05
0.45,6.174082026281263e-05
0.46,6.185568358470669e-05
0.47000000000000003,6.19866558590312e-05
0.48,6.20464901200291e-05
0.49,6.21962662678028e-05
0.5,6.25860801891103e-05
0.51,6.264138611957982e-05
0.52,6.272231283210934e-05
0.53,6.281811175435351e-05
0.54,6.299675189579269e-05
0.55,6.305836755651481e-05
0.56,6.320322955023315e-05
0.5700000000000001,6.325764415241684e-05
0.58,6.339267388157042e-05
0.59,6.36447406506233e-05
0.6,6.37762140693019e-05
0.61,6.40780179841987e-05
0.62,6.420444930152044e-05
0.63,6.460169918049631e-05
0.64,6.4889570541867e-05
0.65,6.50154664457254e-05
0.66,6.566773510892082e-05
0.67,6.598635908976486e-05
0.68,6.607498930268706e-05
0.6900000000000001,6.638237335015547e-05
0.7000000000000001,6.664242462896002e-05
0.71,6.694573550647433e-05
0.72,6.702036902724255e-05
0.73,6.715384291160648e-05
0.74,6.749386562945426e-05
0.75,6.79032886746151e-05
0.76,6.813432827607568e-05
0.77,6.837359444349248e-05
0.78,6.870886710049886e-05
0.79,6.989595825292859e-05
0.8,7.070054311034306e-05
0.81,7.168677434644762e-05
0.8200000000000001,7.18227609634738e-05
0.8300000000000001,7.234443677110875e-05
0.84,7.288200256335667e-05
0.85,7.31621631603966e-05
0.86,7.350512313137828e-05
0.87,7.385385202613237e-05
0.88,7.399535259641704e-05
0.89,7.445718984770266e-05
0.9,7.654758653167736e-05
0.91,7.798089228297313e-05
0.92,7.992510136318376e-05
0.93,8.279630057206901e-05
0.9400000000000001,8.49471433047518e-05
0.9500000000000001,8.901586923412382e-05
0.96,9.308218322950287e-05
0.97,0.00010312825382711065
0.98,0.00011331584164371301
0.99,0.00012029916533869565
1.0,0.00014065633281090196
