Time (sec),request_completion
1.7858515233857566,1
7.460824872901044,2
10.466276286054544,3
12.883801083401522,4
18.976529746605618,5
20.354337894334147,6
20.483478492459707,7
22.194896729202913,8
22.93379095075173,9
23.967351193292355,10
24.271955529804085,11
30.04795354897595,12
30.56835882467846,13
31.599409700497134,14
31.632045682668522,15
31.73646743893808,16
31.849062761159644,17
31.907936841086425,18
31.907936841086425,19
34.04215156007187,20
34.57030196120488,21
36.15428505439635,22
36.71173177774196,23
37.17090762278826,24
37.951614959832504,25
39.11740750481851,26
39.41380891424441,27
40.76943797084616,28
43.444878873864795,29
43.486689218148186,30
44.42117706659511,31
44.711884062526224,32
44.90448977547689,33
46.31004759334997,34
47.21828973808054,35
47.62693231728,36
50.66740954501603,37
51.98635551493453,38
52.41706948090443,39
53.29080671548178,40
53.35407503950456,41
53.518514271705506,42
54.51122665574077,43
54.83238130283527,44
55.082282793742394,45
55.37773266345629,46
55.40960355378768,47
56.10907110635365,48
56.250287341215206,49
56.33862649924938,50
56.52502691128111,51
57.54806978568449,52
58.09567595164489,53
58.18015957150307,54
60.30109492276733,55
60.97041086803729,56
63.37939352807569,57
64.17997873158568,58
64.4131482833294,59
65.6650795006082,60
65.76391196142637,61
66.48130622563569,62
68.15051591047985,63
68.15051591047985,64
68.19867758813925,65
69.57890242703147,66
70.19164805027921,67
70.56342640555188,68
72.9146061312456,69
74.14099684482579,70
74.57620761637263,71
74.6376199055794,72
75.69274843399862,73
76.65804681790598,74
77.08887590778882,75
77.62971645250123,76
78.21029029436562,77
78.31535461028778,78
82.70089193042047,79
83.2342280003261,80
85.22575602895974,81
89.08306089279147,82
91.43773829789983,83
91.99989471433805,84
91.99989471433805,85
93.99185413498947,86
97.4062893056932,87
98.83442318870036,88
100.73486749077814,89
102.79167916105841,90
104.23941772131293,91
107.93827626920461,92
113.51517729251536,93
116.6164541114886,94
121.47945070896476,95
122.81138878044192,96
125.06631262446191,97
129.6778376666325,98
132.3345374794389,99
132.9783740737239,100
134.5716041032722,101
135.94769570875698,102
136.756335332345,103
141.03722174103086,104
141.28907662693703,105
141.9807312433908,106
143.01821407842567,107
143.04793786603707,108
143.04793786603707,109
143.79321010290917,110
143.85508839608397,111
144.5245731927917,112
144.9587319784186,113
146.4017768810732,114
146.492735469672,115
146.58467088259079,116
146.63092138917818,117
150.2310519543323,118
150.3004868572077,119
153.69340907645574,120
154.07620230210668,121
154.52832938586386,122
155.091450710007,123
155.87028140992362,124
156.07605556436542,125
156.4216684537793,126
156.52150758022088,127
157.38333459584993,128
