request_id,estimated_ttft,current_time,estimated_completion_time,deadline,time_until_deadline,slack,remaining_prefill_tokens,queue_position,ahead_prefill_tokens,is_violation
1,0.3002225937726622,0.18587822790020653,0.4861008216728687,1000000.1858782279,1000000.0,999999.6997774062,7270,0,0,False
2,0.30236999059194397,0.27291362743376524,0.5752836180257093,1000000.2581054419,999999.9851918145,999999.6828218239,7322,0,0,False
3,0.6011885172135373,0.5230951625556621,1.1242836797691993,1000000.5026239188,999999.9795287562,999999.378340239,7236,1,7322,False
4,0.393386578855348,0.6711418221760002,1.0645284010313483,1000000.6520286474,999999.9808868252,999999.5875002464,2290,1,7236,False
5,0.6725481653619775,0.6711418221760002,1.3436899875379775,1000000.664392615,999999.9932507928,999999.3207026275,6760,2,9526,False
6,0.5733549507482313,1.0617157435468456,1.6350706942950768,1000001.039392615,999999.9776768715,999999.4043219207,4834,2,9050,False
7,1.5289878314212955,1.2230920057271835,2.7520798371484787,1000001.218377168,999999.9952851624,999998.4662973309,23141,3,13884,False
8,2.265627532620298,1.423599124026301,3.689226656646599,1000001.4111371433,999999.9875380192,999997.7219104866,26888,2,27975,False
9,2.6991539135591434,1.4474786917336908,4.146632605292834,1000001.4282741653,999999.9807954736,999997.28164156,10498,3,54863,False
10,3.4197707307988896,1.5217819862158597,4.9415527170147495,1000001.5030915343,999999.981309548,999996.5615388172,17450,4,65361,False
11,3.9790850100364326,1.573356308062639,5.5524413180990715,1000001.5610044053,999999.9876480972,999996.0085630872,13544,5,82811,False
12,7.379198800720358,1.9105899294747049,9.289788730195063,1000001.887764615,999999.9771746856,999992.5979758848,87169,5,91521,False
13,6.6847224101461,2.0388017251316533,8.723524135277753,1000002.016820333,999999.9780186078,999993.2932961977,6324,5,155549,False
14,6.767810148615233,2.2472312098947707,9.015041358510004,1000002.2331027873,999999.9858715774,999993.2180614287,2012,6,161873,False
15,7.070262731392534,2.3323622394169394,9.402624970809473,1000002.3063445298,999999.9739822905,999992.9037195591,7324,7,163885,False
16,7.459189332238604,2.361582335764329,9.820771668002934,1000002.3385676678,999999.976985332,999992.5177959998,9418,8,171209,False
17,7.496975257039427,2.4515118763904984,9.948487133429925,1000002.4396612139,999999.9881493375,999992.4911740804,915,9,180627,False
18,8.027464863587381,2.4515118763904984,10.47897673997788,1000002.4479042867,999999.9963924102,999991.9689275466,12846,10,181542,False
19,8.87428254005261,2.674202653862226,11.548485193914836,1000002.6676691303,999999.9934664764,999991.1191839364,20506,11,194388,False
20,9.56016934334974,2.8097978516677844,12.369967195017525,1000002.79251423,999999.9827163783,999990.4225470349,16609,12,214894,False
21,10.648445273706132,2.988052790346447,13.63649806405258,1000002.9699117526,999999.9818589622,999989.3334136885,26353,13,231503,False
22,10.898658299245136,3.024735163813837,13.923393463058973,1000003.02463304,999999.9998978762,999989.1012395769,6059,14,257856,False
23,11.144535235052897,3.4124405624877334,14.55697579754063,1000003.39963304,999999.9871924774,999988.8426572424,5954,15,263915,False
24,10.502422289994971,3.68103570656963,14.183457996564602,1000003.6791404225,999999.998104716,999989.4956824259,11339,15,242981,False
25,11.128966608113105,3.8831279847133584,15.012094592826463,1000003.8674912795,999999.9843632948,999988.8553966867,15172,16,254320,False
26,13.025365776094976,3.9135283127407483,16.938894088835724,1000003.8945493159,999999.9810210032,999986.9556552271,45922,17,269492,False
27,13.06885056168543,3.9755958677395276,17.04444642942496,1000003.9731381342,999999.9975422665,999986.9286917048,1053,18,315414,False
28,13.30465125087964,4.0071008009509175,17.31175205183056,1000003.9787371494,999999.9716363484,999986.6669850976,5710,19,316467,False
29,13.603552369686591,4.0071008009509175,17.61065317063751,1000003.9996844203,999999.9925836193,999986.3890312497,7238,20,322177,False
30,14.03117340937241,4.170733854335865,18.201907263708275,1000004.1433104132,999999.9725765589,999985.9414031495,10355,21,329415,False
31,14.09216773825855,4.3438463460568135,18.436014084315364,1000004.3140053441,999999.970158998,999985.8779912598,1477,22,339770,False
32,14.72672349835631,4.718740332104425,19.445463830460735,1000004.6890053441,999999.970265012,999985.2435415137,15366,23,341247,False
33,14.883896427090665,4.758279331747815,19.64217575883848,1000004.7382886052,999999.9800092735,999985.0961128464,3806,24,356613,False
34,15.246145752066427,4.798110470399204,20.04425622246563,1000004.7961342825,999999.9980238121,999984.75187806,8772,25,360419,False
35,16.326286352165155,4.8787326883099835,21.20501904047514,1000004.875389349,999999.9966566607,999983.6703703086,26156,26,369191,False
