cdf,prefill_time_execution_plus_preemption_normalized
0.0,3.74374385316137e-05
0.01,3.857258757623264e-05
0.02,4.079024022727517e-05
0.03,4.265306917299605e-05
0.04,4.939875717052301e-05
0.05,4.966113048971312e-05
0.06,4.9863312728810174e-05
0.07,5.02292702951376e-05
0.08,5.121901879103409e-05
0.09,5.215722596545572e-05
0.1,5.259192506470223e-05
0.11,5.301186765572218e-05
0.12,5.356165236642392e-05
0.13,5.4110872188104504e-05
0.14,5.44654279785181e-05
0.15,5.504320232902946e-05
0.16,5.539790121747685e-05
0.17,5.564629942508331e-05
0.18,5.579876932760175e-05
0.19,5.606335893405369e-05
0.2,5.6386518046168685e-05
0.21,5.671657529827488e-05
0.22,5.7145228655658775e-05
0.23,5.7557469559790984e-05
0.24,5.819896544665079e-05
0.25,5.857645793845084e-05
0.26,5.874013272477729e-05
0.27,5.8927646251473817e-05
0.28,5.938291900319972e-05
0.29,5.985086558667301e-05
0.3,6.0691139832664794e-05
0.31,6.1014144210479796e-05
0.32,6.123339817220373e-05
0.33,6.137526028516866e-05
0.34,6.176605270111132e-05
0.35000000000000003,6.206470803602892e-05
0.36,6.2221222696e-05
0.37,6.230517186618285e-05
0.38,6.241241822066743e-05
0.39,6.244771129862103e-05
0.4,6.252487003200823e-05
0.41000000000000003,6.293427829686125e-05
0.42,6.3070738904343e-05
0.43,6.309556790969143e-05
0.44,6.313973419265362e-05
0.45,6.318963731230965e-05
0.46,6.339280372503614e-05
0.47000000000000003,6.397574099982757e-05
0.48,6.43420394599993e-05
0.49,6.447999505734374e-05
0.5,6.470057498848277e-05
0.51,6.502092332994456e-05
0.52,6.533061427772204e-05
0.53,6.564312121511414e-05
0.54,6.575418217169161e-05
0.55,6.584537223092777e-05
0.56,6.5966783071208e-05
0.5700000000000001,6.633904675836716e-05
0.58,6.654768705857137e-05
0.59,6.688318110993577e-05
0.6,6.724015195047617e-05
0.61,6.747831131853899e-05
0.62,6.777914074622003e-05
0.63,6.800844118595356e-05
0.64,6.825184034829404e-05
0.65,6.834458049195985e-05
0.66,6.84726654332994e-05
0.67,6.897967860178759e-05
0.68,6.982166835835727e-05
0.6900000000000001,7.008741830826706e-05
0.7000000000000001,7.046123873281663e-05
0.71,7.093170286551705e-05
0.72,7.217120181713874e-05
0.73,7.26334607937335e-05
0.74,7.336841448703354e-05
0.75,7.40529809803072e-05
0.76,7.472562414917653e-05
0.77,7.61446221830629e-05
0.78,7.708711005270235e-05
0.79,7.733854940372947e-05
0.8,7.750113061727842e-05
0.81,7.789071493094904e-05
0.8200000000000001,7.93706864170905e-05
0.8300000000000001,8.163463501554236e-05
0.84,8.522089586238144e-05
0.85,8.860681005751003e-05
0.86,9.19047991984587e-05
0.87,9.321636101125622e-05
0.88,9.43463810302698e-05
0.89,9.566371690833319e-05
0.9,9.905364269400975e-05
0.91,0.00010234592781152295
0.92,0.00010658344159471508
0.93,0.00011125050940345072
0.9400000000000001,0.0001167995250599026
0.9500000000000001,0.00012185810081695439
0.96,0.00012744612082120463
0.97,0.00013031842757921052
0.98,0.00013230422862655107
0.99,0.0001472248047871865
1.0,0.00032155615553139296
