Request Id,request_e2e_time,request_e2e_time_normalized,request_execution_time,request_execution_time_normalized,request_model_execution_time,request_model_execution_time_normalized,request_preemption_time,request_scheduling_delay,request_execution_plus_preemption_time,request_execution_plus_preemption_time_normalized,prefill_e2e_time,prefill_e2e_time_normalized,prefill_time_execution_plus_preemption,prefill_time_execution_plus_preemption_normalized,decode_time_execution_plus_preemption_normalized,request_inter_arrival_delay,request_num_tokens,request_num_prefill_tokens,request_num_prefill_tokens_cached,request_num_decode_tokens,request_pd_ratio,request_num_restarts,request_arrived_at,replica
1,44.938380,0.089877,44.938380,0.089877,44.938380,0.089877,0.000000,0.000000,44.938380,0.089877,0.362774,0.000050,0.362774,0.000050,0.089151,0.185878,7770,7270,0,500,14.540000,0,0.185878,0
2,44.046927,0.089892,43.854186,0.089498,43.854186,0.089498,0.000000,0.192741,43.854186,0.089498,0.679562,0.000087,0.486821,0.000062,0.088505,0.072227,8324,7834,512,490,15.987755,0,0.258105,0
3,71.670256,0.090265,71.344622,0.089855,71.344622,0.089855,0.000000,0.325634,71.344622,0.089855,0.720170,0.000093,0.394536,0.000051,0.089358,0.244518,8542,7748,512,794,9.758186,0,0.502624,0
4,36.248095,0.114709,35.776562,0.113217,35.776562,0.113217,0.000000,0.471533,35.776562,0.113217,0.655936,0.000234,0.184403,0.000066,0.112633,0.149405,3118,2802,512,316,8.867089,0,0.652029,0
5,1.212167,0.404056,0.653766,0.217922,0.653766,0.217922,0.000000,0.558402,0.653766,0.217922,1.026087,0.000141,0.467685,0.000064,0.062027,0.012364,7275,7272,512,3,2424.000000,0,0.664393,0
6,25.118972,0.145196,24.575733,0.142056,24.575733,0.142056,0.000000,0.543239,24.575733,0.142056,0.837167,0.000157,0.293928,0.000055,0.140357,0.375000,5519,5346,512,173,30.901734,0,1.039393,0
7,41.273202,0.091111,40.710740,0.089869,40.710740,0.089869,0.000000,0.562462,40.710740,0.089869,1.952716,0.000083,1.390254,0.000059,0.086800,0.178985,24106,23653,512,453,52.214128,0,1.218377,0
8,43.172001,0.094262,41.547755,0.090716,41.547755,0.090716,0.000000,1.624246,41.547755,0.090716,3.354503,0.000122,1.730257,0.000063,0.086938,0.192760,27858,27400,512,458,59.825328,0,1.411137,0
9,37.654779,0.093669,34.478568,0.085768,34.478568,0.085768,0.000000,3.176211,34.478568,0.085768,3.946347,0.000358,0.770136,0.000070,0.083852,0.017137,11412,11010,512,402,27.388060,0,1.428274,0
10,63.580129,0.104230,59.826843,0.098077,59.826843,0.098077,0.000000,3.753287,59.826843,0.098077,4.766101,0.000265,1.012815,0.000056,0.096416,0.074817,18572,17962,512,610,29.445902,0,1.503092,0
