Time (sec),request_completion
1.7852549412463163,1
14.069574117250587,2
15.980442607817174,3
18.164824500350477,4
24.19609659097471,5
27.04250649755136,6
30.19753904006494,7
30.2991391813566,8
30.692288707035672,9
31.89879028817844,10
34.93392655162313,11
35.34966571413164,12
35.50449275432056,13
35.67276427672327,14
36.565469673079996,15
37.546475497706815,16
39.41297883740245,17
40.51231401252232,18
41.90838647246511,19
43.78983622542042,20
45.4111081647567,21
45.66125916290269,22
46.84535378339776,23
48.88380821885548,24
48.96226760487441,25
49.46726289883122,26
50.29456184366856,27
50.647542983411775,28
50.69950994401966,29
50.69950994401966,30
51.04339344887903,31
51.63169104368904,32
51.90519024987728,33
52.06651395843588,34
52.82917006714025,35
53.57091771233632,36
54.8698636818725,37
55.91264773645601,38
56.12835529336711,39
57.10812883548411,40
57.21401205230126,41
58.19721292604656,42
59.73648190871777,43
61.57942595103754,44
62.46128724757621,45
62.99049478329738,46
64.51260277101895,47
65.5148568421799,48
66.79182209389532,49
67.54535007766604,50
69.02658536590657,51
69.6822034231448,52
70.37061815324813,53
70.71084309649592,54
70.94246536624634,55
71.00433284511281,56
72.07211140742763,57
72.8642072775103,58
73.07311667679245,59
73.2985928140726,60
74.12104370710493,61
76.55929235218524,62
77.14481898628208,63
77.98391546834618,64
78.39905663896057,65
79.12318366756402,66
79.20407299122745,67
79.54206568842349,68
81.01363120877446,69
82.28411728533418,70
83.25135396291363,71
83.88696254725463,72
84.62540850638759,73
85.77069168424545,74
85.84847044888656,75
86.81033472869487,76
86.97399595968302,77
89.02269465570039,78
90.55719670647274,79
94.93504457704732,80
96.86220437279822,81
99.4360535740352,82
103.30157415322627,83
107.92191294777557,84
108.88610110543036,85
110.38976931960566,86
110.62607593546107,87
112.96831505518023,88
115.49422783967218,89
115.87489045788611,90
116.40017826437116,91
116.70027376674776,92
117.93185313273231,93
122.23658144350297,94
123.9968844297973,95
124.15019207962706,96
124.20469998759343,97
125.03590711861146,98
127.3155975927357,99
128.16325392042893,100
128.83780515462595,101
129.2865985325463,102
129.51145220530472,103
130.4913118853972,104
132.4990649191729,105
133.2618385689808,106
133.7048250603792,107
134.28763340140807,108
134.846194391571,109
135.4549653313306,110
137.3473459115719,111
137.5738260192107,112
137.6263043560027,113
138.19578707893155,114
139.06749871362794,115
139.778615672403,116
139.8824086184904,117
141.64824330532397,118
142.2543838070599,119
142.89876684732306,120
143.32905653542312,121
144.45453670839072,122
144.45453670839072,123
145.00103304590957,124
146.5007224685489,125
148.36785074389775,126
148.79019898514437,127
149.3004764273349,128
149.8376129835322,129
150.10539697285856,130
150.28341954568168,131
150.6894378497866,132
151.29318334474965,133
151.81258024389834,134
152.09964905247844,135
152.2356356286731,136
152.7588940253587,137
152.96857385440072,138
154.1211220862509,139
154.892104226146,140
155.35009609179627,141
155.57389009274883,142
155.73140996435993,143
157.02911996322845,144
157.99675477842007,145
158.0497288712611,146
158.39737232290904,147
159.07893135087124,148
159.62491975803144,149
159.9592598637943,150
160.11560196854703,151
160.3962684031464,152
160.4566078577197,153
160.64743252854325,154
161.38502188534272,155
161.96753463671752,156
162.85970858738742,157
163.0857665781042,158
163.4207401702145,159
164.99172423524146,160
165.11447874921407,161
165.2767278749074,162
166.89091434573194,163
167.48832090440294,164
167.61746439419483,165
168.16835304202732,166
168.7777873200546,167
169.39075858681406,168
170.20251115602954,169
170.3781646377648,170
171.12792283592805,171
171.85031533823667,172
172.72987712944905,173
173.4708736489268,174
174.36510718520165,175
174.4904946744145,176
174.59882820829498,177
175.83395663046167,178
176.1156536613873,179
177.25622386879664,180
177.32051892610474,181
178.44110748247164,182
178.5539397112714,183
178.83752345083926,184
179.56478818063218,185
181.44338823226212,186
183.2954733085396,187
183.84670088509034,188
184.568340325312,189
184.83435374297332,190
185.71266043291183,191
185.9855674170481,192
187.63070073794114,193
188.5319758303904,194
188.87910679722938,195
189.37215491739045,196
190.58075104436347,197
192.92729017780255,198
207.98841277645855,199
216.59572985210815,200
223.72314554209706,201
239.5832908357432,202
240.27393035513293,203
262.00049242978463,204
263.4598443456433,205
284.64866525603145,206
295.8524164840668,207
297.9722916659442,208
300.2023303385673,209
312.1831343568168,210
313.9449833431469,211
315.482710623537,212
325.0828509666956,213
326.3139669735786,214
329.2669008721147,215
346.1105292972281,216
352.9163445144905,217
384.59293090937354,218
401.20871370199865,219
405.38822423879515,220
424.49550516748957,221
431.03416446643394,222
